name,rating,cuisines,address,cost_for_two,timings,link
The Hope Cafe,3.9,", , View Gallery",,₹400 for two people (approx.),"The Hope Cafe
3.9
7
Dining Ratings
3.6
234
Delivery Ratings
Chinese, South Indian, Fast Food, Sandwich, North Indian, Desserts, Beverages
Shop 9 & 10, Opposite Ashiyan Complex, Lashkar, Gwalior
Closes in 1 hour 48 minutes
2pm – 11pm (Today)
₹400 for two
+919993283999",https://www.zomato.com/gwalior/the-hope-cafe-lashkar/info
Punjabi Zayka,3.9,", , View Gallery",,₹300 for two people (approx.),"Punjabi Zayka
3.9
4
Dining Ratings
3.1
1,491
Delivery Ratings
North Indian, Chinese, Fast Food
House 13-14, Indramani Nagar, Gola Ka Mandir, Morar, Gwalior
Open now
12midnight – 12:30am, 12noon – 12midnight (Today)
₹300 for two
+917974807150",https://www.zomato.com/gwalior/punjabi-zayka-morar/info
Chaa-Hut,3.7,", , View Gallery",,₹200 for two people (approx.),"Chaa-Hut
3.7
16
Dining Ratings
3.5
357
Delivery Ratings
Fast Food, Beverages, Sandwich, Tea
Brijwasi Complex, B Sector, Deen Dayal Nagar, Gwalior
Closes in 48 minutes
2pm – 10pm (Today)
₹200 for two
+916232882506",https://www.zomato.com/gwalior/chaa-hut-deen-dayal-nagar/info
The Sigdi Food Hub,4.1,", , View Gallery",,₹400 for two people (approx.),"The Sigdi Food Hub
4.1
55
Dining Ratings
4.3
519
Delivery Ratings
Fast Food, Pizza, Sandwich, Chinese, Street Food
4 & 5, Shri Krishna Dharamshala, Padav, Lashkar, Gwalior
Closes in 1 hour 48 minutes
11am – 11pm (Today)
₹400 for two
+917999490480",https://www.zomato.com/gwalior/the-sigdi-food-hub-1-lashkar/info
Khatirdari,3.8,", , View Gallery",,₹700 for two people (approx.),"Khatirdari
3.8
17
Dining Ratings
4.1
391
Delivery Ratings
North Indian, Chinese, Mughlai, Biryani, Kebab, Momos
62, Helipad Colony, Near Achleshwar Mandir Gird, Lashkar, Gwalior
Open now
12midnight – 2am, 11am – 12midnight (Today)
₹700 for two
+918225933333",https://www.zomato.com/gwalior/khatirdari-lashkar/info
The Vinayak,3.7,", , View Gallery",,₹650 for two people (approx.),"The Vinayak
3.7
32
Dining Ratings
3.7
252
Delivery Ratings
North Indian, Chinese, Fast Food, Desserts
Maharani Laxmibai Marg, Padav, Maharani Laxmi Bai Colony, Lashkar, Gwalior
Closes in 1 hour 18 minutes
10:30am – 10:30pm (Today)
₹650 for two
+919165625000",https://www.zomato.com/gwalior/the-vinayak-lashkar/info
Regenta Place,-,", , ₹1,700 for two people (approx.)",,"₹1,700 for two people (approx.)","Regenta Place
-
1
Dining Ratings
-
2
Delivery Ratings
North Indian, Mughlai, Biryani, Salad, Chinese
Plot MC 1-4 4A, Transport Nagar, Anand Nagar, Gwalior
Closes in 1 hour 18 minutes
11:45am – 10:30pm (Today)
₹1,700 for two
+917400738887",https://www.zomato.com/gwalior/regenta-place-anand-nagar/info
Litti Chokha House,3.2,", , View Gallery",,₹300 for two people (approx.),"Litti Chokha House
3.2
4
Dining Ratings
4.0
4
Delivery Ratings
Bihari, Biryani, North Indian
B-4, BSF Colony, Deen Dayal Nagar, Gwalior
Closed
Opens tomorrow at 11:15am
₹300 for two
+916397151134",https://www.zomato.com/gwalior/litti-chokha-house-1-deen-dayal-nagar/info
Pakiza Hotel,3.7,", , View Gallery",,₹300 for two people (approx.),"Pakiza Hotel
3.7
48
Dining Ratings
3.3
3,525
Delivery Ratings
North Indian, Mughlai
Chawri Bazar Meat Market, Near Kailashpati Enterprises Gali, Lashkar, Gwalior
Open now
12midnight – 2am, 12noon – 12midnight (Today)
₹300 for two
+917803929201",https://www.zomato.com/gwalior/pakiza-hotel-lashkar/info
Shri Jodhpur Mishthan Bhandar,-,", , View Gallery",,₹300 for two people (approx.),"Shri Jodhpur Mishthan Bhandar
-
1
Dining Ratings
4.0
31
Delivery Ratings
Mithai, Desserts
Near University Tiraha, Thatipur, Gwalior
Closed
Opens tomorrow at 11am
₹300 for two
+917514070080
+1 more",https://www.zomato.com/gwalior/shri-jodhpur-mishthan-bhandar-thatipur/info
Food Junction,4.0,", , View Gallery",,₹450 for two people (approx.),"Food Junction
4.0
68
Dining Ratings
3.3
890
Delivery Ratings
North Indian, Chinese, Biryani
Jageshwari Residence, Near Bharat Petrol Pump, Bhind Road, Deen Dayal Nagar, Gwalior
Closes in 47 minutes
9:30am – 10pm (Today)
₹450 for two
+917581061822",https://www.zomato.com/gwalior/food-junction-deen-dayal-nagar/info
Hotel Dessert Palm,4.2,", , View Gallery",,₹900 for two people (approx.),"Hotel Dessert Palm
4.2
21
Dining Ratings
3.8
141
Delivery Ratings
North Indian, Chinese, Mughlai, Beverages, Desserts, Kebab
Near SBI Bank, Preetam Vihar Colony, University Road, City Center, Gwalior
Closes in 1 hour 47 minutes
11am – 11pm (Today)
₹900 for two
+919009829417",https://www.zomato.com/gwalior/hotel-dessert-palm-city-center/info
Khilona Atithi Bhoj,4.0,", , View Gallery",,₹400 for two people (approx.),"Khilona Atithi Bhoj
4.0
27
Dining Ratings
4.2
1,014
Delivery Ratings
North Indian
Nai Sadak, Pardhi Mohalla, Lashkar, Gwalior
Temporarily closed for delivery, will be back soon!
₹400 for two
+919981181088
+1 more",https://www.zomato.com/gwalior/khilona-atithi-bhoj-lashkar/info
Patel Family Restaurant,3.8,", , View Gallery",,₹250 for two people (approx.),"Patel Family Restaurant
3.8
10
Dining Ratings
4.1
1,506
Delivery Ratings
North Indian, Chinese, Fast Food, Pizza, Desserts
Near Hanuman Mandir Talkies, Patali Hanuman Tansen Road, Hazira, Birla Nagar, Gwalior
Open now
1pm – 11:30pm (Today)
₹250 for two
+917974433767
+2 more",https://www.zomato.com/gwalior/patel-family-restaurant-1-birla-nagar/info
IAG Food Court (IFC),4.0,", , View Gallery",,₹300 for two people (approx.),"IAG Food Court (IFC)
4.0
204
Dining Ratings
3.8
5,496
Delivery Ratings
Pizza, Fast Food, North Indian, Sandwich
Maharaja Complex, Deen Dayal Nagar, Gwalior
Open now
10am – 11:30pm (Today)
₹300 for two
+917580882060",https://www.zomato.com/gwalior/iag-food-court-ifc-deen-dayal-nagar/info
Punjabi Darbar,3.5,", , View Gallery",,₹350 for two people (approx.),"Punjabi Darbar
3.5
11
Dining Ratings
4.1
509
Delivery Ratings
North Indian, Chinese
Shop 8, Near Gorkhi Scout, Lashkar, Gwalior
Open now
1pm – 12midnight (Today)
₹350 for two
+918839771800",https://www.zomato.com/gwalior/punjabi-darbar-lashkar/info
Chawla Chicken,3.7,", , View Gallery",,₹400 for two people (approx.),"Chawla Chicken
3.7
131
Dining Ratings
3.5
2,154
Delivery Ratings
North Indian, Mughlai, Seafood, Fast Food, Chinese
Chupal Chawala Chikin, Gole Ka Mandir Chauraha, Morar, Gwalior
Closes in 1 hour 47 minutes
12noon – 11pm (Today)
₹400 for two
+919993452415",https://www.zomato.com/gwalior/chawla-chicken-morar/info
Dawat Family Restaurant,3.7,", , View Gallery",,₹400 for two people (approx.),"Dawat Family Restaurant
3.7
21
Dining Ratings
4.0
667
Delivery Ratings
North Indian, Chinese, Beverages
Vinay Nagar Tiraha, Bahodapur, Near PNB Bank, Vinay Nagar, Gwalior
Closes in 1 hour 47 minutes
11am – 11pm (Today)
₹400 for two
+917974607309",https://www.zomato.com/gwalior/dawat-family-restaurant-vinay-nagar/info
The Vedas,3.2,", , View Gallery",,₹900 for two people (approx.),"The Vedas
3.2
35
Dining Ratings
3.8
1,075
Delivery Ratings
North Indian, Chinese, Fast Food, Desserts, Beverages
Pinto Park Parking Lot, Infront of MPEB Power, City Center, Gwalior
Closes in 1 hour 47 minutes
11am – 11pm (Today)
₹900 for two
+919522316232",https://www.zomato.com/gwalior/the-vedas-city-center/info
Chai Sutta Bar,2.7,", , View Gallery",,₹200 for two people (approx.),"Chai Sutta Bar
2.7
4
Dining Ratings
-
2
Delivery Ratings
Tea, Coffee, Beverages, Burger, Pizza, Sandwich, Fast Food, Street Food
A-71, Govindpuri, City Center, Gwalior
Closes in 47 minutes
11am – 10pm (Today)
₹200 for two
+917879514609
+1 more",https://www.zomato.com/gwalior/chai-sutta-bar-city-center/info
New Annapurna Bhojnalaya,3.6,", , View Gallery",,₹150 for two people (approx.),"New Annapurna Bhojnalaya
3.6
25
Dining Ratings
4.2
1,162
Delivery Ratings
North Indian
Laxmi Guest House, Near Padav Thana, Gandhi Nagar Railway Crossing, Birla Nagar, Gwalior
Closes in 1 hour 47 minutes
12midnight – 11pm (Today)
₹150 for two
+918839110653",https://www.zomato.com/gwalior/new-annapurna-bhojnalaya-birla-nagar/info
Bhopat Nasir Seekh Kabab,4.2,", , View Gallery",,₹500 for two people (approx.),"Bhopat Nasir Seekh Kabab
4.2
23
Dining Ratings
3.8
342
Delivery Ratings
Mughlai, Kebab, Biryani, North Indian
Near SP Office, City Center, Gwalior
Open now
12:30pm – 11:30pm (Today)
₹500 for two
+919827554523",https://www.zomato.com/gwalior/bhopat-nasir-seekh-kabab-city-center/info
Burger Point,3.5,", , View Gallery",,₹350 for two people (approx.),"Burger Point
3.5
7
Dining Ratings
3.6
3,394
Delivery Ratings
Burger, Sandwich, Wraps, Fast Food, Shake, Beverages
LIG 906, Darpan Colony, Near Model Convent School, Thatipur, Gwalior
Open now
9am – 12midnight (Today)
₹350 for two
+919009447600",https://www.zomato.com/gwalior/burger-point-thatipur/info
Chawla Punjabi Junction,3.3,", , View Gallery",,₹400 for two people (approx.),"Chawla Punjabi Junction
3.3
25
Dining Ratings
3.2
1,294
Delivery Ratings
North Indian, Mughlai, Biryani
Shop 27, Station Bajariya, City Center, Gwalior
Open now
12midnight – 1am, 10am – 12midnight (Today)
₹400 for two
+917000356319",https://www.zomato.com/gwalior/chawla-punjabi-junction-city-center/info
Jatashankar Nashta & Bhojanalya,3.5,", , ₹250 for two people (approx.)",,₹250 for two people (approx.),"Jatashankar Nashta & Bhojanalya
3.5
7
Dining Ratings
4.1
472
Delivery Ratings
North Indian
G2/1/27, Naya Daal Bazar Chauraha, Near Sudarshan Petrol Pump, Anand Nagar, Gwalior
Open now
10:30am – 11:30pm (Today)
₹250 for two
+917697440744",https://www.zomato.com/gwalior/jatashankar-nashta-bhojanalya-anand-nagar/info
Pandit Ji Paranthe Wale,3.9,", , View Gallery",,₹300 for two people (approx.),"Pandit Ji Paranthe Wale
3.9
6
Dining Ratings
3.8
51
Delivery Ratings
North Indian, Fast Food, Sandwich, Beverages
University Road, Govindpuri, Mahalgaon, Gwalior
Closes in 1 hour 46 minutes
11am – 11pm (Today)
₹300 for two
+919340148366",https://www.zomato.com/gwalior/pandit-ji-paranthe-wale-mahalgaon/info
Kalp Vriksha- Hotel Vivek Continental,4.2,", , View Gallery",,₹700 for two people (approx.),"Kalp Vriksha- Hotel Vivek Continental
4.2
40
Dining Ratings
4.2
554
Delivery Ratings
North Indian, South Indian, Continental, Chinese, Desserts, Beverages
Topi Bazar, Naya Bazaar, Gwalior
Closes in 46 minutes
12noon – 10pm (Today)
₹700 for two
+919300940041
+1 more",https://www.zomato.com/gwalior/kalp-vriksha-hotel-vivek-continental-naya-bazaar/info
Punjabi Mirch Masala,3.8,", , View Gallery",,₹300 for two people (approx.),"Punjabi Mirch Masala
3.8
6
Dining Ratings
3.6
63
Delivery Ratings
North Indian, Street Food
Bahadura Bhavan, Kampoo Tiraha, Naya Bazaar, Gwalior
Closes in 46 minutes
12noon – 10pm (Today)
₹300 for two
+919669151100",https://www.zomato.com/gwalior/punjabi-mirch-masala-naya-bazaar/info
The Cravings Cafe & Restro,3.3,", , View Gallery",,₹400 for two people (approx.),"The Cravings Cafe & Restro
3.3
5
Dining Ratings
4.0
13
Delivery Ratings
Cafe, North Indian, Chinese
Near Water Booster Pump, Sainik Colony, Pinto Park, Morar, Gwalior
Closes in 1 hour 16 minutes
12:30pm – 10:30pm (Today)
₹400 for two
+918989260011",https://www.zomato.com/gwalior/the-cravings-cafe-restro-morar/info
Ashoka Restaurant,4.0,", , View Gallery",,₹300 for two people (approx.),"Ashoka Restaurant
4.0
45
Dining Ratings
3.6
473
Delivery Ratings
North Indian
Nai Sadak, Lashkar, Gwalior
Closes in 1 hour 46 minutes
11am – 11pm (Today)
₹300 for two
+917999858913
+1 more",https://www.zomato.com/gwalior/ashoka-restaurant-lashkar/info
Alfa The Cafe,3.8,", , ₹250 for two people (approx.)",,₹250 for two people (approx.),"Alfa The Cafe
3.8
17
Dining Ratings
3.9
79
Delivery Ratings
Pizza, Burger, Sandwich, Pasta, Momos, Street Food, Beverages
Mayur Nagar, Near Saksham Palaza, Thatipur, Gwalior
Closed
Opens tomorrow at 11am
₹250 for two
+918269726788",https://www.zomato.com/gwalior/alfa-the-cafe-thatipur/info
Hide & Seek Cafe,-,", , View Gallery",,₹250 for two people (approx.),"Hide & Seek Cafe
-
3
Dining Ratings
-
0
Delivery Ratings
Chinese, North Indian, Pizza, Sandwich, Burger, Fast Food, Street Food, Shake
Opposite Charak Hospital, Shinde Ki Chhawani, Gwalior
Closes in 46 minutes
10am – 10pm (Today)
₹250 for two
+918305123824",https://www.zomato.com/gwalior/hide-seek-cafe-shinde-ki-chhawani/info
Hotel Maharaja,3.7,", , View Gallery",,₹500 for two people (approx.),"Hotel Maharaja
3.7
15
Dining Ratings
3.6
222
Delivery Ratings
North Indian, Mughlai
Near Roxy Talkies, Kampoo Road, Madhav Ganj, Gwalior
Closes in 1 hour 46 minutes
11am – 11pm (Today)
₹500 for two
+919425308265
+1 more",https://www.zomato.com/gwalior/hotel-maharaja-madhav-ganj/info
P Punjabi Tadka,3.9,", , View Gallery",,₹400 for two people (approx.),"P Punjabi Tadka
3.9
7
Dining Ratings
4.3
813
Delivery Ratings
Street Food, North Indian, Beverages, Chinese, Salad
37, 38, Kailash Vihar, City Center, Gwalior
Closes in 1 hour 46 minutes
12noon – 11pm (Today)
₹400 for two
+917067198276",https://www.zomato.com/gwalior/p-punjabi-tadka-city-center/info
Patiala Shahi,3.5,", , View Gallery",,₹400 for two people (approx.),"Patiala Shahi
3.5
7
Dining Ratings
4.0
1,826
Delivery Ratings
Pizza, Fast Food, Desserts, Chinese, North Indian
Near Hero Showroom, City Center, Gwalior
Open now
11am – 12midnight (Today)
₹400 for two
+917354138928",https://www.zomato.com/gwalior/patiala-shahi-city-center/info
Yara The Buffet,3.5,", , ₹300 for two people (approx.)",,₹300 for two people (approx.),"Yara The Buffet
3.5
7
Dining Ratings
4.0
28
Delivery Ratings
North Indian
Shop 14-15, Millennium Plaza, University Road, City Center, Gwalior
Closes in 1 hour 46 minutes
12:30pm – 11pm (Today)
₹300 for two
+919977700219",https://www.zomato.com/gwalior/yara-the-buffet-city-center/info
Shiv Shakti Bhojanalya,3.3,", , View Gallery",,₹200 for two people (approx.),"Shiv Shakti Bhojanalya
3.3
21
Dining Ratings
3.9
520
Delivery Ratings
North Indian
Baradari Chauraha, Near KM Hospital, Morar, Gwalior
Closes in 30 minutes
11:45am – 9:45pm (Today)
₹200 for two
+916232077808",https://www.zomato.com/gwalior/shiv-shakti-bhojanalya-morar/info
Eat Street,3.8,", , View Gallery",,₹300 for two people (approx.),"Eat Street
3.8
30
Dining Ratings
3.9
5,457
Delivery Ratings
North Indian, Fast Food, Chinese, South Indian
GH 1773A, Near BSF Colony Main Gate, Deen Dayal Nagar, Gwalior
Open now
12midnight – 1:30am, 11:30am – 12midnight (Today)
₹300 for two
+919770152992",https://www.zomato.com/gwalior/eat-street-deen-dayal-nagar/info
Baba Bakers,3.8,", , View Gallery",,₹300 for two people (approx.),"Baba Bakers
3.8
51
Dining Ratings
3.2
983
Delivery Ratings
Bakery
Near Water Tank, Lala Ka Bazaar, Madhav Ganj, Gwalior
Closes in 45 minutes
9am – 10pm (Today)
₹300 for two
+917974474559",https://www.zomato.com/gwalior/baba-bakers-madhav-ganj/info
