name,location,locality,city,cuisine,rating,votes,cost,main_cuisine
Amaravathi Family Restaurant,"Pragathi Nagar, West Hyderabad",West Hyderabad,Hyderabad,"North Indian,  Chinese",4.6,14,800,North Indian
Cafe Liant,"Gandipet, West Hyderabad",West Hyderabad,Hyderabad,"Italian,  Fast Food,  Pizza,  Desserts,  Ice Cream,  Shakes",5.0,4,700,Italian
1989 Pizza & Thick Shakes,"Uppal, East Hyderabad",East Hyderabad,Hyderabad,"Italian,  Fast Food,  Pizza,  Shakes",4.7,5,600,Italian
Sandwich Eatery,"Kondapur, West Hyderabad",West Hyderabad,Hyderabad,"Fast Food,  Shakes",4.3,7,500,Fast Food
Code 32,"Gachibowli, West Hyderabad",West Hyderabad,Hyderabad,"North Indian,  Chinese,  Finger Food",4.3,25,1500,North Indian
1989 Milkshakes,"Uppal, East Hyderabad",East Hyderabad,Hyderabad,"Fast Food,  Pizza,  Desserts,  Shakes",4.1,4,600,Fast Food
Palms Kitchen,"Fairfield by Marriott Hyderabad Gachibowli,Gachibowli, West Hyderabad",West Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Chinese,  Continental",3.3,191,2000,Multi-Cuisine
Kesariya's Sweets,"Kondapur, West Hyderabad",West Hyderabad,Hyderabad,"Desserts,  Mithai,  Street Food,  Chaat",1.3,3,200,Desserts
Deli 9,"Anvi’s ECO Grand,Gachibowli, West Hyderabad",West Hyderabad,Hyderabad,"Continental,  European",4.5,375,1300,Continental
Kebab Pavilion,"Ellaa Hotels,Gachibowli, West Hyderabad",West Hyderabad,Hyderabad,"Mughlai,  Hyderabadi",3.8,40,1500,Mughlai
Frozen Bottle,"L B Nagar, East Hyderabad",East Hyderabad,Hyderabad,"Shakes,  Desserts",4.7,7,300,Shakes
Indus,"Ellaa Hotels,Gachibowli, West Hyderabad",West Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Chinese,  Continental,  South Indian,  Mexican",3.9,134,1500,Multi-Cuisine
Alchemy Lounge,"Ellaa Hotels,Gachibowli, West Hyderabad",West Hyderabad,Hyderabad,"Mediterranean,  Oriental",4.3,9,1700,Mediterranean
Sandwich Eatery,"Nizampet, West Hyderabad",West Hyderabad,Hyderabad,"Fast Food,  Shakes",4.2,16,500,Fast Food
Zega,"Sheraton Hyderabad Hotel,Gachibowli, West Hyderabad",West Hyderabad,Hyderabad,"Asian,  Sushi",4.6,73,2400,Asian
Driven Cafe,"Kapil Towers,Gachibowli, West Hyderabad",West Hyderabad,Hyderabad,"Coffee,  Fast Food",4.3,28,600,Coffee
Collage,"Hyatt Hyderabad,Gachibowli, West Hyderabad",West Hyderabad,Hyderabad,"North Indian,  Continental,  Asian",4.1,104,2000,North Indian
Dark Stone,"L B Nagar, East Hyderabad",East Hyderabad,Hyderabad,"Ice Cream,  Desserts,  Shakes",4.0,5,400,Ice Cream
Ahoy Resto,"Kompally, Secunderabad",Secunderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Italian,  Continental,  South Indian",4.3,49,900,Multi-Cuisine
Firewater Restaurant and Banquets,"Miyapur, West Hyderabad",West Hyderabad,Hyderabad,"North Indian,  Chinese,  Hyderabadi",4.3,67,1500,North Indian
Cafe 115,"Oakwood Residence Kapil Hyderabad,Gachibowli, West Hyderabad",West Hyderabad,Hyderabad,"Fast Food,  Bakery and Confectionary,  Desserts",5.0,1,500,Fast Food
Feast,"Sheraton Hyderabad Hotel,Gachibowli, West Hyderabad",West Hyderabad,Hyderabad,"Multi-Cuisine,  Italian,  Continental,  Asian,  Modern Indian",4.3,592,2500,Multi-Cuisine
Italia,"Ellaa Hotels,Gachibowli, West Hyderabad",West Hyderabad,Hyderabad,Italian,3.5,11,1500,Italian
Link,"Sheraton Hyderabad Hotel,Gachibowli, West Hyderabad",West Hyderabad,Hyderabad,Fusion,4.5,54,1500,Fusion
Old Skool,"Kompally, Secunderabad",Secunderabad,Hyderabad,"North Indian,  Chinese,  Arabian",4.1,99,700,North Indian
Oakleaf,"Oakwood Residence Kapil Hyderabad,Gachibowli, West Hyderabad",West Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Asian",4.0,280,2000,Multi-Cuisine
Sandwich Eatery,"Miyapur, West Hyderabad",West Hyderabad,Hyderabad,"Fast Food,  Shakes",4.6,8,500,Fast Food
CF Fresh 100,"Gachibowli, West Hyderabad",West Hyderabad,Hyderabad,Mexican,5.0,1,300,Mexican
Ankapur Village Hotel,"Vanasthalipuram, East Hyderabad",East Hyderabad,Hyderabad,"North Indian,  Andhra",4.4,35,1100,North Indian
Eagles Pizza,"Uppal, East Hyderabad",East Hyderabad,Hyderabad,"Pizza,  Italian,  Ice Cream,  Fast Food",3.2,21,600,Pizza
Cream Stone,"Chanda Nagar, West Hyderabad",West Hyderabad,Hyderabad,"Desserts,  Ice Cream",4.3,30,400,Desserts
Express By AB's,"Maisaiah Yadav Estate,Miyapur, West Hyderabad",West Hyderabad,Hyderabad,"North Indian,  Barbecue",4.2,9,600,North Indian
Punjabi Affair,"Nanakramguda, West Hyderabad",West Hyderabad,Hyderabad,"North Indian,  Chinese",3.1,23,800,North Indian
Eagles Pizza,"Miyapur, West Hyderabad",West Hyderabad,Hyderabad,"Pizza,  Italian,  Ice Cream,  Fast Food",4.1,72,600,Pizza
Chef Baker's,"Hafeezpet, West Hyderabad",West Hyderabad,Hyderabad,"Fast Food,  Desserts",2.3,2,600,Fast Food
The Bake Factory,"Lingampally, West Hyderabad",West Hyderabad,Hyderabad,"Italian,  Continental,  Desserts",4.7,7,700,Italian
Milkshake Buffin,"Vanasthalipuram, East Hyderabad",East Hyderabad,Hyderabad,Shakes,4.2,25,300,Shakes
Hotel M Grand,"Vanasthalipuram, East Hyderabad",East Hyderabad,Hyderabad,"North Indian,  Chinese,  Seafood,  Mughlai",4.0,22,1000,North Indian
Bahar Biryani Cafe,"Hasthinapuram, East Hyderabad",East Hyderabad,Hyderabad,"North Indian,  Chinese,  Biryani",3.1,163,800,North Indian
Over The Flow,"Hotel Swagath Grand,Hafeezpet, West Hyderabad",West Hyderabad,Hyderabad,Fusion,3.9,28,1200,Fusion
Little Island,"Hotel Swagath Grand,Hafeezpet, West Hyderabad",West Hyderabad,Hyderabad,"North Indian,  Chinese",4.2,41,900,North Indian
Yellow Bamboos,"Hotel Swagath Grand,Hafeezpet, West Hyderabad",West Hyderabad,Hyderabad,"North Indian,  Chinese",4.0,9,1000,North Indian
Southern Kitchen,"Hotel Swagath Grand,Hafeezpet, West Hyderabad",West Hyderabad,Hyderabad,South Indian,3.7,5,900,South Indian
The Scam,"Lingampally, West Hyderabad",West Hyderabad,Hyderabad,"North Indian,  Continental",4.0,88,1400,North Indian
Taco Bell,"GSM Mall,Chanda Nagar, West Hyderabad",West Hyderabad,Hyderabad,"Mexican,  Tex Mex",4.0,24,500,Mexican
World of Tortillas,"GSM Mall,Miyapur, West Hyderabad",West Hyderabad,Hyderabad,"Continental,  Mexican",4.0,2,600,Continental
Nature's Hub,"Gandipet, West Hyderabad",West Hyderabad,Hyderabad,"North Indian,  Chinese",3.9,8,900,North Indian
Chinnari's Kitchen,"Gachibowli, West Hyderabad",West Hyderabad,Hyderabad,"North Indian,  South Indian",5.0,3,1200,North Indian
Theth Masala,"Lingampally, West Hyderabad",West Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Chinese,  Continental,  Seafood",4.2,14,1200,Multi-Cuisine
Santosh Klub,"Lingampally, West Hyderabad",West Hyderabad,Hyderabad,"North Indian,  Chinese",4.6,31,800,North Indian
Broccoli Pizza & Pasta,"Lingampally, West Hyderabad",West Hyderabad,Hyderabad,"Italian,  Pizza",4.1,43,600,Italian
Cafe Gluck,"Lingampally, West Hyderabad",West Hyderabad,Hyderabad,"Fast Food,  Health Food",4.6,51,700,Fast Food
Mid Land Bakers & Confectioners,"Hafeezpet, West Hyderabad",West Hyderabad,Hyderabad,"Bakery and Confectionary,  Continental,  Desserts",1.0,3,400,Bakery and Confectionary
Makers Of Milkshakes,"Lingampally, West Hyderabad",West Hyderabad,Hyderabad,"Shakes,  Waffle",4.5,2,400,Shakes
Tandoor Restaurant & Bakers,"Shameerpet, Secunderabad",Secunderabad,Hyderabad,"North Indian,  Chinese",3.2,5,600,North Indian
Broskis,"Pocharam, Secunderabad",Secunderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Chinese,  Continental",4.2,9,800,Multi-Cuisine
Bikanervala,"Shamshabad, South Hyderabad",South Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Chinese,  Continental,  South Indian,  Street Food,  Desserts,  Ice Cream,  Shakes",4.6,6,1100,Multi-Cuisine
Kenny Rogers Roasters,"Inorbit Mall,Hitech City, West Hyderabad",West Hyderabad,Hyderabad,"Health Food,  Continental",4.1,16,1000,Health Food
The Big Owl Cafe,"Sainikpuri, Secunderabad",Secunderabad,Hyderabad,"Italian,  Continental",3.8,58,1000,Italian
Upper Deck,"Swagath De Royal,Kondapur, West Hyderabad",West Hyderabad,Hyderabad,"North Indian,  Chinese",4.2,17,1000,North Indian
B&W Restaurant - Swagath De Royal,"Swagath De Royal,Kondapur, West Hyderabad",West Hyderabad,Hyderabad,"North Indian,  Chinese",3.9,141,1200,North Indian
FC Road Social,"F.C. Road, West Pune",West Pune,Pune,"Multi-Cuisine,  Italian,  Continental,  American,  Oriental ,  Modern Indian",4.4,295,2000,Multi-Cuisine
Little Italy,"Shivaji Nagar, West Pune",West Pune,Pune,"Italian,  Desserts",4.3,380,1400,Italian
Spice Kitchen,"JW Marriott Hotel,Senapati Bapat Road, West Pune",West Pune,Pune,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  South Indian",4.4,128,2000,Multi-Cuisine
SKYE at Eternia RoofTop,"ICC Trade Tower,Senapati Bapat Road, West Pune",West Pune,Pune,"North Indian,  Multi-Cuisine,  Italian,  Chinese,  Continental",4.0,237,1200,North Indian
Paasha,"JW Marriott Hotel,Senapati Bapat Road, West Pune",West Pune,Pune,"North Indian,  Mughlai",4.5,162,2500,North Indian
Agent Jack's Bar,"ICC Trade Tower,Senapati Bapat Road, West Pune",West Pune,Pune,"North Indian,  Italian,  Continental,  Asian,  Finger Food",4.0,180,1700,North Indian
Mainland China,"Pyramid Mall,Senapati Bapat Road, West Pune",West Pune,Pune,"Chinese,  Seafood,  Asian,  Tibetan",4.5,233,1400,Chinese
Pune Baking Company,"JW Marriott Hotel,Senapati Bapat Road, West Pune",West Pune,Pune,"Bakery and Confectionary,  Coffee",4.2,15,600,Bakery and Confectionary
Cafe Snack's Shack,"Shivaji Nagar, West Pune",West Pune,Pune,"Italian,  Pizza,  American,  Fusion",4.3,11,600,Italian
Culture Pune,"F.C. Road, West Pune",West Pune,Pune,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Finger Food",4.2,269,1600,Multi-Cuisine
Yolkshire,"Millenium Plaza,F.C. Road, West Pune",West Pune,Pune,"Fast Food,  Italian,  Coffee",4.7,79,700,Fast Food
Aaoji Khhaoji,"Khadki, East Pune",East Pune,Pune,North Indian,4.1,22,500,North Indian
Chaats and Wraps,"Clover Corner,Viman Nagar, East Pune",East Pune,Pune,"Street Food,  Italian,  Mexican",4.6,23,400,Street Food
Fountain Family Rest O Bar,"Shivaji Nagar, West Pune",West Pune,Pune,"North Indian,  Chinese",4.2,16,1000,North Indian
Cafe Kathaa,"F.C. Road, West Pune",West Pune,Pune,"Continental,  Fast Food,  Shakes",4.0,17,900,Continental
Rockwell Cafe & Bar,"F.C. Road, West Pune",West Pune,Pune,"Continental,  Finger Food,  Chinese",5.0,2,1200,Continental
FC Grill House,"Deccan Gymkhana, West Pune",West Pune,Pune,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",4.0,115,1100,Multi-Cuisine
Shreyas,"Deccan Gymkhana, West Pune",West Pune,Pune,"Maharashtrian,  Fast Food",4.1,122,800,Maharashtrian
Mayur Thali,"Camp, East Pune",East Pune,Pune,"Gujarati,  Rajasthani,  Street Food",3.9,15,500,Gujarati
Frozen Bottle,"Millenium Plaza,Shivaji Nagar, West Pune",West Pune,Pune,"Shakes,  Desserts,  Ice Cream",3.5,18,400,Shakes
द Vege टेबल,"Deccan Gymkhana, West Pune",West Pune,Pune,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",4.3,169,1300,Multi-Cuisine
Aamaya Multi Cuisine,"Shivaji Nagar, West Pune",West Pune,Pune,"North Indian,  Asian,  Continental,  South Indian,  Oriental ,  Fast Food",3.9,119,600,North Indian
The Sea Secret,"J.M.Road, West Pune",West Pune,Pune,"North Indian,  Seafood,  Goan,  Kerala,  Mangalorean,  Coastal",4.5,91,1500,North Indian
Anna Idli,"Baner, West Pune",West Pune,Pune,"South Indian,  Andhra",4.4,136,500,South Indian
Galaxy,"Hotel Orbett,Deccan Gymkhana, West Pune",West Pune,Pune,"North Indian,  Oriental",3.6,32,1200,North Indian
Hakuna Matata,"The Deccan Royaale Hotel,J.M.Road, West Pune",West Pune,Pune,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",3.7,150,1500,Multi-Cuisine
Horn Ok Please,"Narhari Building,Deccan Gymkhana, West Pune",West Pune,Pune,"North Indian,  Mughlai",3.6,13,500,North Indian
Austin 40 Cafehouse,"Deccan Gymkhana, West Pune",West Pune,Pune,"Continental,  Chinese",3.6,4,800,Continental
Cafe MetroMix,"Erandwane, West Pune",West Pune,Pune,"Continental,  Fast Food",4.9,9,1000,Continental
Botanica The Green House Bar,"The Mills,Sangamwadi, East Pune",East Pune,Pune,"Multi-Cuisine,  Italian,  Continental,  Mediterranean,  Asian,  Modern Indian",4.1,101,1300,Multi-Cuisine
Feast,"Sheraton Grand Pune Bund Garden Hotel,Bund Garden Road, East Pune",East Pune,Pune,"Multi-Cuisine,  North Indian,  Italian,  Continental,  European,  Asian",4.3,370,3000,Multi-Cuisine
Radhika Veg Restaurant,"Aundh, West Pune",West Pune,Pune,"North Indian,  Chinese,  Continental,  Mughlai",3.6,10,600,North Indian
Cafe Peter,"Dhole Patil Road, East Pune",East Pune,Pune,"Italian,  Japanese,  Korean,  Desserts,  Coffee,  Waffle",4.0,26,900,Italian
Cafe Peter,"Aundh, West Pune",West Pune,Pune,"Italian,  Japanese,  Korean,  Desserts,  Coffee,  Waffle",4.0,66,900,Italian
The Wadapav Cafe,"Erandwane, West Pune",West Pune,Pune,"Street Food,  Maharashtrian",4.0,3,300,Street Food
Anna Idli,"Dhole Patil Road, East Pune",East Pune,Pune,"South Indian,  Andhra",4.4,96,500,South Indian
Shangri-La,"Erandwane, West Pune",West Pune,Pune,"North Indian,  Chinese,  Continental",3.8,21,1200,North Indian
T3m.Sky.Gallery,"Kothrud, West Pune",West Pune,Pune,"North Indian,  Finger Food,  Chinese,  Continental",4.3,68,1500,North Indian
Effingut,"Baner, West Pune",West Pune,Pune,"North Indian,  Continental,  Seafood",4.5,259,2000,North Indian
Maratha Samrat,"Camp, East Pune",East Pune,Pune,"Seafood,  Maharashtrian",4.5,52,1000,Seafood
Words and Sips Book Cafe,"F.C. Road, West Pune",West Pune,Pune,Fast Food,1.4,2,500,Fast Food
Kimling Chinese Cuisine & Bar,"Aundh, West Pune",West Pune,Pune,"Chinese,  Seafood",4.5,84,1500,Chinese
Mosaic,"Crowne Plaza Pune City Centre,Dhole Patil Road, East Pune",East Pune,Pune,"North Indian,  Fast Food",4.0,119,1500,North Indian
Mazdana Restaurant & Bar,"Camp, East Pune",East Pune,Pune,"Continental,  Finger Food,  North Indian,  Chinese,  Oriental",4.2,17,600,Continental
Pind Punjab,"Baner, West Pune",West Pune,Pune,"North Indian,  Chinese,  Mughlai",3.7,10,900,North Indian
Coriander Kitchen,"Conrad Pune,Koregaon Park, East Pune",East Pune,Pune,"Multi-Cuisine,  North Indian,  Chinese,  Mediterranean,  Asian",4.7,69,4000,Multi-Cuisine
Pune Sugar Box,"Conrad Pune,Koregaon Park, East Pune",East Pune,Pune,"Bakery and Confectionary,  Desserts",4.9,9,2100,Bakery and Confectionary
The 3 Musketeers Pub,"Balewadi High Street,Baner, West Pune",West Pune,Pune,"Finger Food,  North Indian,  Chinese,  Continental,  American",4.2,172,1700,Finger Food
The Chocolate Room,"Kothrud, West Pune",West Pune,Pune,"Fast Food,  Italian,  Desserts,  Drinks",4.1,51,900,Fast Food
Kabana,"Conrad Pune,Koregaon Park, East Pune",East Pune,Pune,"Continental,  Italian",4.7,10,3500,Continental
TTF - The Tenth Floor,"Deron Heights,Baner, West Pune",West Pune,Pune,"North Indian,  Continental,  Finger Food,  Italian",3.7,100,1500,North Indian
Little Italy,"Hotel Shriman,Bund Garden Road, East Pune",East Pune,Pune,Italian,4.3,211,1400,Italian
Pimlico,"Kothrud, West Pune",West Pune,Pune,"North Indian,  Continental",4.4,2,900,North Indian
Oregano Pizza,"Kothrud, West Pune",West Pune,Pune,"Pizza,  Italian",4.4,8,500,Pizza
Status Family Rest -O- Bar,"Parmar Chambers,Camp, East Pune",East Pune,Pune,"North Indian,  Chinese,  Seafood",4.0,22,1400,North Indian
Retox,"Erandwane, West Pune",West Pune,Pune,"Asian,  Finger Food,  North Indian,  European,  Fast Food",3.8,4,1700,Asian
Sahare Dining Hall,"Camp, East Pune",East Pune,Pune,"North Indian,  Gujarati,  Rajasthani",4.3,54,600,North Indian
Pokket Cafe,"Siddhi Prerna Complex,Pimpale Gurav, West Pune",West Pune,Pune,"Fast Food,  Tea",3.9,4,400,Fast Food
Maratha Samrat,"Baner, West Pune",West Pune,Pune,"Seafood,  Maharashtrian,  Biryani",4.5,93,1000,Seafood
Akss - India Reimagined,"Bund Garden Road, East Pune",East Pune,Pune,"North Indian,  Modern Indian",4.3,14,1000,North Indian
Community Cafe,"Kothrud, West Pune",West Pune,Pune,"Fast Food,  North Indian,  Italian,  Mexican",4.0,32,700,Fast Food
Hidden Place,"Koregaon Park, East Pune",East Pune,Pune,"Finger Food,  North Indian,  Continental",4.2,104,1500,Finger Food
Latitude,"Vivanta By Taj - Blue Diamond,Koregaon Park, East Pune",East Pune,Pune,"Multi-Cuisine,  North Indian,  Italian,  Mediterranean,  European",4.3,225,2000,Multi-Cuisine
Whispering Bamboo,"Vivanta By Taj - Blue Diamond,Koregaon Park, East Pune",East Pune,Pune,"Chinese,  Asian",4.6,65,2500,Chinese
Mystic Masala - Blue Diamond,"Vivanta By Taj - Blue Diamond,Koregaon Park, East Pune",East Pune,Pune,"Maharashtrian,  North Indian,  Mughlai",4.6,74,2500,Maharashtrian
Brewing Bistro,"Baner, West Pune",West Pune,Pune,"Italian,  Continental,  Fast Food,  Coffee,  Tea",4.5,10,800,Italian
Yolkshire,"Karishma Society,Kothrud, West Pune",West Pune,Pune,"Fast Food,  Italian",4.4,64,700,Fast Food
The Quick Wok,"Regent Plaza,Baner, West Pune",West Pune,Pune,"Chinese,  Thai",4.4,17,800,Chinese
CnP House,"Baner, West Pune",West Pune,Pune,"North Indian,  Mughlai",5.0,2,1000,North Indian
Madeline,"Kothrud, West Pune",West Pune,Pune,"Desserts,  Fast Food",4.0,1,900,Desserts
Easy - Blue Diamond,"Vivanta By Taj - Blue Diamond,Koregaon Park, East Pune",East Pune,Pune,"Finger Food,  Continental",4.3,14,3200,Finger Food
Cake Dior,"Koregaon Park, East Pune",East Pune,Pune,"Desserts,  Bakery and Confectionary",4.5,2,700,Desserts
The Daily All Day Pune,"Koregaon Park, East Pune",East Pune,Pune,"Multi-Cuisine,  Italian,  Continental,  European",4.5,66,2000,Multi-Cuisine
Sugardough,"Kothrud, West Pune",West Pune,Pune,"Fast Food,  Bakery and Confectionary",5.0,2,600,Fast Food
Desi Aroma,"Aditi Mall,Baner, West Pune",West Pune,Pune,"North Indian,  Mughlai",4.4,110,1000,North Indian
CnP House - Chicken And Paratha,"Wakad, West Pune",West Pune,Pune,"North Indian,  Biryani",4.7,3,800,North Indian
1441 Pizzeria,"Koregaon Park, East Pune",East Pune,Pune,"Pizza,  North Indian,  Italian,  Fast Food,  Biryani",4.1,70,1000,Pizza
Chinese Room,"Camp, East Pune",East Pune,Pune,"Chinese,  Thai,  Seafood,  Asian",4.4,89,1400,Chinese
The Rooftop Project,"MG Road, East Pune",East Pune,Pune,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Asian",4.3,203,1600,Multi-Cuisine
Frozen Bottle,"Sterling Center,Camp, East Pune",East Pune,Pune,"Shakes,  Ice Cream",4.4,33,400,Shakes
Chizzlers,"Echelon Building,Pashan, West Pune",West Pune,Pune,"Chinese,  Sizzlers",3.9,41,700,Chinese
The Asian Box Resto Bar,"Siddh Icon Building,Baner, West Pune",West Pune,Pune,"Chinese,  Japanese,  Indonesian,  Seafood,  Asian,  Malaysian,  Thai,  Singaporean",4.0,104,1000,Chinese
Frozen Bottle,"Baner, West Pune",West Pune,Pune,"Shakes,  Ice Cream",4.6,17,400,Shakes
Malaka Spice,"Koregaon Park, East Pune",East Pune,Pune,"Asian,  Thai,  Japanese,  Vietnamese,  Malaysian",4.4,510,1500,Asian
Watervibe Restaurant,"Baner, West Pune",West Pune,Pune,"North Indian,  Finger Food",4.1,24,1200,North Indian
Bird Valley,"Pimple Saudagar, West Pune",West Pune,Pune,"North Indian,  Chinese,  Continental",4.2,171,1500,North Indian
George Restaurant,"Camp, East Pune",East Pune,Pune,"North Indian,  Chinese",3.7,33,1000,North Indian
Kerala Cafe,"Parvatibai Dhondiba Dhankude Complex,Baner, West Pune",West Pune,Pune,"Kerala,  South Indian,  Seafood",4.3,128,1400,Kerala
Cafe Buddy's Espresso,"Echelon Building,Pashan, West Pune",West Pune,Pune,"Fast Food,  Coffee",3.4,9,600,Fast Food
Exotica,"Yerwada, East Pune",East Pune,Pune,"Multi-Cuisine,  North Indian,  Chinese,  Continental,  Mediterranean",4.3,319,1500,Multi-Cuisine
The Doner Company,"Kothrud, West Pune",West Pune,Pune,"Turkish,  Health Food,  Lebanese,  Fast Food",3.8,8,700,Turkish
Maratha Samrat,"Rohan Chambers,Kothrud, West Pune",West Pune,Pune,"Seafood,  Maharashtrian,  North Indian",4.3,119,1000,Seafood
Tim Luck Luck,"Virwani Plaza,Camp, East Pune",East Pune,Pune,"Multi-Cuisine,  North Indian,  Chinese,  Seafood,  Drinks",4.2,134,1600,Multi-Cuisine
Pimlico,"Koregaon Park, East Pune",East Pune,Pune,"Italian,  Continental",4.4,149,900,Italian
ABs - Absolute Barbecues,"Mariplex Mall,Kalyani Nagar, East Pune",East Pune,Pune,"North Indian,  Barbecue,  Seafood",4.4,427,1200,North Indian
The Sassy Spoon,"Sanskruti Lifestyle Complex,Koregaon Park, East Pune",East Pune,Pune,"Multi-Cuisine,  Italian,  Continental,  Mediterranean,  European,  Asian,  Finger Food,  Desserts,  Modern Indian",4.5,350,1500,Multi-Cuisine
Samruddhi Pure Veg,"Vishrantwadi, East Pune",East Pune,Pune,"North Indian,  Chinese",4.2,28,600,North Indian
Cafe Eastwood,"Chintamani Pride Building,Kothrud, West Pune",West Pune,Pune,"North Indian,  Italian",4.3,21,1000,North Indian
Chafa Cafe And Studio,"Koregaon Park, East Pune",East Pune,Pune,"Health Food,  Italian,  Continental",4.8,30,1000,Health Food
11 East Street Cafe,"Virwani Plaza,Camp, East Pune",East Pune,Pune,"Continental,  North Indian,  Seafood",4.2,209,1700,Continental
Beetroot Bistro,"Koregaon Park, East Pune",East Pune,Pune,"Continental,  Italian,  European,  Pizza",4.7,71,1200,Continental
The Bowl Shack,"Koregaon Park, East Pune",East Pune,Pune,"Continental,  Asian,  North Indian,  Health Food",4.5,64,800,Continental
Dhaba Shaba,"Koregaon Park, East Pune",East Pune,Pune,"North Indian,  Chinese",4.4,113,1000,North Indian
Toscano,"Koregaon Park, East Pune",East Pune,Pune,"Italian,  Mediterranean,  Desserts,  Pizza",4.5,64,1500,Italian
Circle Of Crust,"Baner, West Pune",West Pune,Pune,"Italian,  Pizza",4.4,19,900,Italian
Aufside@Hotfut,"Kumar Pacific Mall,Swargate, South Pune",South Pune,Pune,"North Indian,  Italian,  Continental",4.4,55,1500,North Indian
Sassy Teaspoon,"Sanskruti Lifestyle Complex,Koregaon Park, East Pune",East Pune,Pune,"Bakery and Confectionary,  Desserts",5.0,2,400,Bakery and Confectionary
Squisito,"Jewel Tower,Koregaon Park, East Pune",East Pune,Pune,"Italian,  Mexican",4.4,152,1500,Italian
Moshi Moshi,"Ashok Chakra Society,Koregaon Park, East Pune",East Pune,Pune,"Thai,  Japanese,  Korean,  Sushi,  Vietnamese,  Asian,  Malaysian",4.3,92,1600,Thai
Huber & Holly,"Koregaon Park, East Pune",East Pune,Pune,"Italian,  Desserts,  Fast Food,  Pizza",4.4,98,700,Italian
H2O Sports Bar and Rooftop,"Hinjewadi, West Pune",West Pune,Pune,"North Indian,  Mughlai,  Oriental ,  Chinese,  Seafood",5.0,5,1500,North Indian
Sandwich Express,"Vrindavan Society,Koregaon Park, East Pune",East Pune,Pune,"Fast Food,  Juice",4.2,6,300,Fast Food
The Doner Company,"Koregaon Park, East Pune",East Pune,Pune,"Fast Food,  Health Food,  Coffee",4.5,32,800,Fast Food
Murphies,"Koregaon Park, East Pune",East Pune,Pune,"Multi-Cuisine,  Continental,  European,  Finger Food",4.4,153,1600,Multi-Cuisine
Hotel Vishranti,"Vishrantwadi, East Pune",East Pune,Pune,"North Indian,  Chinese",3.2,6,600,North Indian
Effingut,"Koregaon Park, East Pune",East Pune,Pune,"North Indian,  Continental,  Seafood",4.5,347,2000,North Indian
Mocha,"Power Plaza,Koregaon Park, East Pune",East Pune,Pune,"Continental,  European,  Asian",4.5,200,1500,Continental
Mad House Grill,"Koregaon Park, East Pune",East Pune,Pune,"Continental,  Seafood",3.9,143,2300,Continental
24K KRAFT BREWZZ,"Balewadi, West Pune",West Pune,Pune,"Multi-Cuisine,  Maharashtrian,  North Indian,  Chinese,  Mughlai",4.4,117,1000,Multi-Cuisine
The Tipsy Duckling,"Kothrud, West Pune",West Pune,Pune,"North Indian,  Continental,  Finger Food",4.0,47,1400,North Indian
Bhujbal Bandhu - Hotel Apulki,"Karve Nagar, West Pune",West Pune,Pune,Maharashtrian,4.0,1,600,Maharashtrian
Rajput Restaurant,"Koregaon Park, East Pune",East Pune,Pune,"North Indian,  Chinese",3.9,84,800,North Indian
Sumadhu Pure Veg,"Sinhagad Road, South Pune",South Pune,Pune,"North Indian,  Chinese,  South Indian",3.8,3,600,North Indian
Appetite,"7 Apple Hotel,Pimpri, West Pune",West Pune,Pune,"Multi-Cuisine,  North Indian,  Chinese,  Continental,  Fast Food",4.0,35,800,Multi-Cuisine
Spice Factory,"White Square Building,Hinjewadi, West Pune",West Pune,Pune,"North Indian,  Finger Food",4.1,2478,1700,North Indian
The Urban Foundry,"Balewadi High Street,Baner, West Pune",West Pune,Pune,"North Indian,  Asian",4.5,200,2000,North Indian
Nawab Asia,"Balewadi High Street,Baner, West Pune",West Pune,Pune,"North Indian,  Chinese,  Mughlai",4.4,279,1200,North Indian
FatCook,"Baner, West Pune",West Pune,Pune,"North Indian,  Italian,  Oriental",4.4,77,800,North Indian
Akshay Pure Veg Family Restaurant,"Balewadi, West Pune",West Pune,Pune,"North Indian,  Chinese,  South Indian",4.1,31,600,North Indian
Subway,"Parvati, South Pune",South Pune,Pune,Health Food,4.7,3,500,Health Food
Kasturi Mastani House,"Kothrud, West Pune",West Pune,Pune,"Fast Food,  South Indian,  Street Food",2.3,2,500,Fast Food
Kerala Cafe,"Kalyani Nagar, East Pune",East Pune,Pune,"Kerala,  South Indian,  Seafood",3.8,103,1400,Kerala
Urbo,"Baner, West Pune",West Pune,Pune,"North Indian,  Asian,  Continental,  South Indian",4.2,154,1000,North Indian
